,17,18,19,20
Bahrain-20/3/2022,68,168,150,167
Saudi_Arabia-27/3/2022,146,117,172,95
Australia-10/4/2022,146,172,193,50
Imola-24/4/2022,244,156,223,109
Miami-8/5/2022,211,153,191,90
Spain-22/5/2022,173,163,120,137
Monaco-29/5/2022,142,166,177,144
Azerbaijan-12/6/2022,173,155,138,98
Canada-19/6/2022,80,125,145,166
Great_Britain-3/7/2022,109,198,60,271
Austria-10/7/2022,197,137,264,136
France-24/7/2022,167,115,115,165
Hungary-31/7/2022,148,126,110,158
Belgium-28/8/2022,150,113,106,152
Netherlands-4/9/2022,171,128,152,127
Italy-11/9/2022,170,144,151,123
Singapore-2/10/2022,149,175,166,60
Japan-9/10/2022,111,167,156,85
United_States-23/10/2022,180,162,154,120
Mexico-30/10/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil-13/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu_Dhabi-20/11/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

